"Site Crawled","https://ditex.com.pl/"
"Date","2025-04-03"
"Time","19:52:49"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Avoid Large Layout Shifts","0","0,00%","615","Internal HTML URLs with 2xx response"
"Avoid Serving Legacy JavaScript to Modern Browsers","0","0,00%","615","Internal HTML URLs with 2xx response"
"Request Errors","0","0,00%","615","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","615","100,00%","615",""
"Viewport Not Set","0","0,00%","615",""
"Target Size","0","0,00%","615",""
"Content Not Sized Correctly","0","0,00%","615",""
"Illegible Font Size","0","0,00%","615",""
"Contains Unsupported Plugins","0","0,00%","615",""
"Mobile Alternate Link","0","0,00%","615",""
""
"Custom Search"
"All","615","100,00%","615","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","615","100,00%","615","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1670","100,00%","1670","Internal HTML pages with 2xx response"
""
"Analytics"
"All","670","100,00%","670","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0,00%","670","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","670","Internal URLs with associated Google Analytics data"
"No GA Data","0","0,00%","670","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0,00%","670","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0,00%","670","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","670","100,00%","670","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0,00%","670","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0,00%","670","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0,00%","670","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0,00%","670","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0,00%","670","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0,00%","670","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0,00%","670","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0,00%","670","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0,00%","670","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0,00%","670","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0,00%","670","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","1725","100,00%","1725","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0,00%","1725","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0,00%","1725","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0,00%","1725","Internal URLs with 2xx response"
"Missing <head> Tag","0","0,00%","1725","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0,00%","1725","Internal URLs with 2xx response"
"Missing <body> Tag","0","0,00%","1725","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0,00%","1725","Internal URLs with 2xx response"
"HTML Document Over 15MB","0","0,00%","1725","Internal URLs with 2xx response"
"Resource Over 15MB","0","0,00%","1725","Internal URLs with 2xx response"
"High Carbon Rating","0","0,00%","1725","Internal URLs with 2xx response"
""
"Link Metrics"
"All","668","100,00%","668","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","1","0,16%","615","Internal HTML pages with 2xx response"
"1","28","4,55%","615","Internal HTML pages with 2xx response"
"2","115","18,70%","615","Internal HTML pages with 2xx response"
"3","244","39,67%","615","Internal HTML pages with 2xx response"
"4","216","35,12%","615","Internal HTML pages with 2xx response"
"5","10","1,63%","615","Internal HTML pages with 2xx response"
"6","1","0,16%","615","Internal HTML pages with 2xx response"
"7","0","0,00%","615","Internal HTML pages with 2xx response"
"8","0","0,00%","615","Internal HTML pages with 2xx response"
"9","0","0,00%","615","Internal HTML pages with 2xx response"
"10+","0","0,00%","615","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://ditex.com.pl/polityka-prywatnosci/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/nasz-zespol/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/kategoria-produktu/bmp-europe/bramy-szybkobiezne/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/roger-technology/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/oferta-specjalna/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/kontakt/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/moje-konto/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/gdzie-kupic/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/aktualnosci/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/kategoria-produktu/ngr/bramy-przeciwpozarowe/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/amtr/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/blog/category/blog/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/katalog-produktow/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/partner-handlowy/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/bmp/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/klient-indywidualny/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/kategoria-produktu/amtr/rampy/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/o-firmie/","615","100,00%","615","Internal HTML pages with 2xx response"
"https://ditex.com.pl/do-pobrania/ngr/","615","100,00%","615","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","1640","95,07%"
"2","60","3,48%"
"3","0","0,00%"
"4","24","1,39%"
"5","0","0,00%"
"6","1","0,06%"
